"Biller Name","Biller ID","Commission In Percent Inclusive GST (%)","Retailer","Distributor","payobill"
"AADHAR_AGENT",103381881,0.203,0.142,0.041,0.02
"AADHAR_CUSTOMER",103379921,0.225,0.158,0.045,0.023
"ADANI CAPITAL PRIVATE LIMITED AGENT",71341635,0.113,0.079,0.023,0.011
"ADITYA BIRLA FINANCE LIMITED_CUSTOMER",116528936,0.293,0.205,0.059,0.029
"ADYA DAIRY_AGENT",88505334,0.18,0.126,0.036,0.018
"AKASA FINANCE LIMITED_AGENT",127190551,0.36,0.252,0.072,0.036
"AKASA FINANCE LIMITED_CUSTOMER",127190594,0.36,0.252,0.072,0.036
"AMU LEASING_CUSTOMER",97327222,0.338,0.236,0.068,0.034
"ANI TECHNOLOGIES PRIVATE LIMITED CUSTOMER",68005554,0.315,0.221,0.063,0.032
"ANUJ DAIRY PRIVATE LIMITED AGENT",67116214,0.27,0.189,0.054,0.027
"AROHAN FINANCIAL SERVICES LTD_CENTER_AGENT",151594858,0.18,0.126,0.036,0.018
"AROHAN_AGENT",94731708,0.18,0.126,0.036,0.018
"AROHAN_CUSTOMER",94731625,0.18,0.126,0.036,0.018
"ARTH MICRO FINANCE PVT LTD AGENT",75325872,0.293,0.205,0.059,0.029
"ARTH MICRO FINANCE PVT LTD AGENT",76424506,0.293,0.205,0.059,0.029
"ARTIONIS INDIA LLP AGENT",80800276,0.293,0.205,0.059,0.029
"ASA INTERNATIONAL INDIA MICROFINANCE LTD_AGENT",142774376,0.158,0.11,0.032,0.016
"ASA INTERNATIONAL INDIA MICROFINANCE LTD_CUSTOMER",142774556,0.18,0.126,0.036,0.018
"ASIANET_AGENT",87909432,0.225,0.158,0.045,0.023
"ASIANET_CUSTOMER",87909471,0.225,0.158,0.045,0.023
"ASIRVAD MICROFINANCE LIMITED_AGENT",115413133,0.203,0.142,0.041,0.02
"ASIRVAD MICROFINANCE LIMITED_CUSTOMER",115413103,0.203,0.142,0.041,0.02
"AVANTI_AGENT",100767265,0.18,0.126,0.036,0.018
"AVANTI_CUSTOMER",100767296,0.18,0.126,0.036,0.018
"AXIS BANK LIMITED_AGENT",132572464,0.104,0.072,0.021,0.01
"BAJAJ AUTO FINANCE LIMITED CUSTOMER",66683620,0.315,0.221,0.063,0.032
"BAJAJ FINANCE CUSTOMER",62184005,0.315,0.221,0.063,0.032
"Bhgala Livelihood Finserv Limited_AGENT",152854422,0.171,0.12,0.034,0.017
"Big Basket_AGENT",155850523,0.126,0.088,0.025,0.013
"BLACKBUCK_CUSTOMER_CHANGE",76698621,0.216,0.151,0.043,0.022
"BLUE JAY FINLEASE LIMITED AGENT",72803129,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED CUSTOMER",72803098,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN AGENCY AGENT",69854240,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN AGENCY AGENT",72803049,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN AGENCY AGENT",72804057,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN AGENT AGENT",69854792,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN AGENT AGENT",72803021,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN CUSTOMER",69718121,0.36,0.252,0.072,0.036
"BLUE JAY FINLEASE LIMITED_ZIPLOAN CUSTOMER",72747276,0.36,0.252,0.072,0.036
"BSS Micro finance Limited_AGENT",147805167,0.09,0.063,0.018,0.009
"BSS Micro finance Limited_CUSTOMER",147845943,0.09,0.063,0.018,0.009
"BUNDL TECHNOLOGIES CUSTOMER",61905407,0.225,0.158,0.045,0.023
"BUSSAN AUTO FINANCE INDIA PVT LTD CUSTOMER",69820625,0.45,0.315,0.09,0.045
"BUSSAN AUTO FINANCE AGENT",71742279,0.338,0.236,0.068,0.034
"BUSYBEES LOGISTICS SOLUTION PVT LTD_XPRESSBEES AGENT",67963790,0.158,0.11,0.032,0.016
"BYCYSHARE TECHNOLOGIES PRIVATE LIMITED_ZYPP ELECTRIC_AGENT",124822520,0.315,0.221,0.063,0.032
"CHOLAMANDALAM INVESTMENT AND FINANCE LIMITED_HL AGENT",121905170,0.122,0.085,0.024,0.012
"CHOLAMANDALAM INVESTMENT AND FINANCE LIMITED_HL CUSTOMER",127195910,0.122,0.085,0.024,0.012
"CHOLAMANDALAM INVESTMENT AND FINANCE LIMITED_LAP_AGENT",121905210,0.122,0.085,0.024,0.012
"CHOLAMANDALAM_AGENT",106151513,0.122,0.085,0.024,0.012
"CHOLAMANDALAM_CUSTOMER",106151586,0.122,0.085,0.024,0.012
"CONNECT RISEOO GLOBAL PRIVATE LIMITED AGENT",117683477,0.293,0.205,0.059,0.029
"DAVINTA FINANCIAL SERVICES PRIVATE LIMITED AGENT",118391619,0.248,0.173,0.05,0.025
"DBAGENT_IFFCO TOKIO",84659185,0.189,0.132,0.038,0.019
"DBFLIPKART_AGENT",94092011,0.189,0.132,0.038,0.019
"DCB BANK_FIN1_AGENT",117412807,0.158,0.11,0.032,0.016
"DCB BANK_FIN1_CUSTOMER",116217490,0.158,0.11,0.032,0.016
"DCB BANK_FINCL_AGENT",116217560,0.158,0.11,0.032,0.016
"DCB BANK_FINCL_CUSTOMER",117412843,0.158,0.11,0.032,0.016
"Deepak Hitech Motors Pvt Ltd_AGENT",153262665,0.203,0.142,0.041,0.02
"DELIGHTFUL GOURMET_AGENT",110388340,0.18,0.126,0.036,0.018
"DEUTCHE BANK AG AGENT",75146056,0.189,0.132,0.038,0.019
"DHANI LOANS AND SERVICES LTD AGENT",76298179,0.338,0.236,0.068,0.034
"DHANI LOANSAND SERVICES LIMITED CUSTOMER",78100275,0.338,0.236,0.068,0.034
"DJT FINANCIAL SERVICES PVT LTD_AGENT",129290195,0.225,0.158,0.045,0.023
"DMI FINANCE CUSTOMER",63477723,0.45,0.315,0.09,0.045
"DOUBTNUT_CUSTOMER",103836778,0.405,0.284,0.081,0.041
"DUNZO DIGITAL PRIVATE LIMITED AGENT",71453742,0.45,0.315,0.09,0.045
"DVARA _AGENT",100035360,0.18,0.126,0.036,0.018
"DVARA _CUSTOMER",100035395,0.18,0.126,0.036,0.018
"DVARA E- REGISTRY PVT LTD_AGENT",114759413,0.315,0.221,0.063,0.032
"DVARA E REGISTRY_AVANTI FINANCE _AGENT",123126212,0.315,0.221,0.063,0.032
"DVARA E-REGISTRY_MONEXO_AGENT",129653892,0.315,0.221,0.063,0.032
"ECOM EXPRESS PRIVATE LIMITED AGENT",81705663,0.068,0.047,0.014,0.007
"EFAARMS SOLUTIONS PRIVATE LIMITED_AGENT",136844119,0.18,0.126,0.036,0.018
"Electronica Finance Limited_AGENT",150603541,0.158,0.111,0.032,0.016
"Electronica Finance Limited_CUSTOMER",150605062,0.158,0.111,0.032,0.016
"EQUITAS SMALL FINANCE BANK_AGENT MF COLLECTION",107528813,0.117,0.082,0.023,0.012
"EQUITAS SMALL FINANCE BANK_AGENT RD COLLECTION",107528723,0.117,0.082,0.023,0.012
"E-SAVARI_CUSTOMER",99847491,0.293,0.205,0.059,0.029
"ESMACO_AGENT",94052805,0.203,0.142,0.041,0.02
"EXPEDIENT HEALTHCARE MARKETING PVT LTD AGENT",78449234,0.225,0.158,0.045,0.023
"FAIRASSETS_CUSTOMER",96598028,0.27,0.189,0.054,0.027
"FINCARE SMALL FINANCE BANK LTD_AGENT",142685148,0.081,0.057,0.016,0.008
"FINOVA CAPITAL PVT LTD AGENT",72168780,0.27,0.189,0.054,0.027
"FINOVA CAPITAL PVT LTD AGENT",80796314,0.27,0.189,0.054,0.027
"FINXCESS OPPORTUNITY SERVICES PVT LTD AGENT",77723055,0.158,0.11,0.032,0.016
"GET AND GIVE_AGENT",108698289,0.315,0.221,0.063,0.032
"GODAWARI EMOBILITY LTD_EBLU CUSTOMER",67396370,0.293,0.205,0.059,0.029
"HDB_AGENT",90783093,0.36,0.252,0.072,0.036
"HDB_CUSTOMER",90783058,0.405,0.284,0.081,0.041
"HDFC LIFE _CUSTOMER",91325096,0.18,0.126,0.036,0.018
"HDFC LIFE ULIP _CUSTOMER",91323368,0.18,0.126,0.036,0.018
"HERBALIFE INTERNATIONAL INDIA PVT LTD AGENT",83311388,0.203,0.142,0.041,0.02
"HERBALIFE INTERNATIONAL INDIA PVT LTD_AGENT",100635442,0.203,0.142,0.041,0.02
"HERO FINCORP LIMITED AGENT",62989395,0.113,0.079,0.023,0.011
"HERO FINCORP LIMITED CUSTOMER",59280179,0.315,0.221,0.063,0.032
"HINDUJA LEYLAND FINANCE LIMITED_AGENT",125950215,0.104,0.072,0.021,0.01
"HIVELOOP TECHNOLOGY PRIVATE LIMITED_UDAAN AGENT AGENT",71665677,0.36,0.252,0.072,0.036
"HOME CREDIT INDIA FINANCE PVT LTD CUSTOMER",59296875,0.288,0.202,0.058,0.029
"HOME CREDIT_ABF_CUSTOMER",158452285,0.288,0.202,0.058,0.029
"HUMANA CAPITAL_AGENT",87909389,0.203,0.142,0.041,0.02
"HUMANA CAPITAL_CUSTOMER",87923852,0.203,0.142,0.041,0.02
"ICICI AGENT CD LOAN",87007963,0.293,0.205,0.059,0.029
"ICICI AGENT HOME LOAN",87007714,0.293,0.205,0.059,0.029
"ICICI AGENT OD",87009953,0.293,0.205,0.059,0.029
"ICICI AGENT RETAIL LOAN",87007923,0.293,0.205,0.059,0.029
"ICICI CUSTOMER CD LOAN",87007847,0.293,0.205,0.059,0.029
"ICICI CUSTOMER HOME LOAN",87007764,0.293,0.205,0.059,0.029
"ICICI CUSTOMER OD",87007876,0.293,0.205,0.059,0.029
"ICICI CUSTOMER RETAIL LOAN",87007809,0.293,0.205,0.059,0.029
"IDFC FIRST BANK LTD CUSTOMER",75611109,0.135,0.095,0.027,0.014
"IDFC First Bharat Limited_AGENT",149648256,0.158,0.11,0.032,0.016
"IDFC YOLO TRAVEL TECH_AGENT",98675808,0.315,0.221,0.063,0.032
"IIFL HOME CUSTOMER",75763061,0.315,0.221,0.063,0.032
"IIFL HOME FINANCE LTD AGENT",72596053,0.315,0.221,0.063,0.032
"IIFL SAMASTA FINANCE LIMITED AGENT",78573884,0.113,0.079,0.023,0.011
"IIFL SAMASTA FINANCE LIMITED_CUSTOMER",91856068,0.203,0.142,0.041,0.02
"INDUSIND BANK LIMITED AGENT",81273170,0.135,0.095,0.027,0.014
"INDUSIND BANK LIMITED CUSTOMER",81416674,0.135,0.095,0.027,0.014
"JANA SMALL FINANCE BANK LIMITED_AGENT",80803138,0.158,0.11,0.032,0.016
"KAMAL FINCAP PRIVATE LIMITED_AGENT",117293813,0.126,0.088,0.025,0.013
"KINARA CAPITAL_AGENT",92016629,0.171,0.12,0.034,0.017
"KINARA CAPITAL_CUSTOMER",92016633,0.171,0.12,0.034,0.017
"KOGTA FINANCIAL INDIA LIMITED AGENT",118088505,0.18,0.126,0.036,0.018
"KPB FINCARE PVT LTD AGENT",59604912,0.248,0.173,0.05,0.025
"L & T FINANCE HOLDINGS LIMITED AGENT_LTF_CHILD",165913552,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED CL_AGENT_CHILD",165536413,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED FR_AGENT_CHILD",165913450,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED MFI AGENT",165913273,0.081,0.057,0.016,0.008
"L & T FINANCE HOLDINGS LIMITED TW_AGENT_CHILD",165536369,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_BL_CHILD",165536564,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_CL_CHILD",165536501,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_FARM_CHILD",165913725,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_HF_CHILD",165536599,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_HL1_CHILD",165536527,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_LTF_CHILD",165913791,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_ML_CHILD",165913660,0.11,0.077,0.022,0.011
"L & T FINANCE HOLDINGS LIMITED_CUSTOMER_TW1_CHILD",165536468,0.11,0.077,0.022,0.011
"L & T FINANCE LIMITED CUSTOMER",66614835,0.113,0.079,0.023,0.011
"L AND T FINANCE LIMITED_CUSTOMER_CL_CHILD",129656218,0.113,0.079,0.023,0.011
"L AND T FINANCE LIMITED_CUSTOMER_FARM_CHILD",129656367,0.113,0.079,0.023,0.011
"L AND T FINANCE LIMITED_CUSTOMER_HF_CHILD",130703741,0.113,0.079,0.023,0.011
"L AND T FINANCE LIMITED_CUSTOMER_HL1_CHILD",129656430,0.113,0.079,0.023,0.011
"L AND T FINANCE LIMITED_CUSTOMER_ML_CHILD",129656318,0.113,0.079,0.023,0.011
"L AND T FINANCE LIMITED_CUSTOMER_TW_CHILD",129656086,0.113,0.079,0.023,0.011
"LAXMI_AGENT",103830374,0.248,0.173,0.05,0.025
"LENDINGKART FINANCE LIMITED AGENT",64978747,0.338,0.236,0.068,0.034
"LnT MFI",70040622,0.081,0.057,0.016,0.008
"LOADSHARE NETWORKS PVT LTD AGENT",69410175,0.135,0.095,0.027,0.014
"LTFS FR AGENT",96769987,0.113,0.079,0.023,0.011
"LTFS TW AGENT",96770367,0.113,0.079,0.023,0.011
"MAHINDRA FINANCE_CUSTOMER",135379942,0.257,0.18,0.051,0.026
"MANAPPURAM FINANCE LIMITED CUSTOMER",71893138,0.36,0.252,0.072,0.036
"MANAPPURAM_AGENT",87992986,0.36,0.252,0.072,0.036
"MANAPPURAM_CUSTOMER",87992878,0.36,0.252,0.072,0.036
"MARGDARSHAK FINANCIAL AGENT",72353059,0.225,0.158,0.045,0.023
"MARGDARSHAK FINANCIAL SERVICES LTD AGENT",75472698,0.225,0.158,0.045,0.023
"MEESHO (FASHNEAR)_ CASH DROP AGENT",131615207,0.225,0.158,0.045,0.023
"MIDLAND MICROFINLTD AGENT",80430572,0.099,0.069,0.02,0.01
"MIDLAND_CUSTOMER",88069978,0.315,0.221,0.063,0.032
"MITRATA_AGENT",89098391,0.122,0.085,0.024,0.012
"MITRATA_CUSTOMER",89098456,0.248,0.173,0.05,0.025
"MOVING SMART MOBILITY AND ENERGY PVT LTD_CUSTOMER",125521879,0.45,0.315,0.09,0.045
"MS WHEELSEMI PRIVATE LIMITED CUSTOMER",69405472,0.45,0.315,0.09,0.045
"MS WHEELSEMI PVT LTD_AGENT",108728262,0.293,0.205,0.059,0.029
"MUTHOOD MICRO FINANCE LTD AGENT",66705668,0.135,0.095,0.027,0.014
"NABFINS LIMITED_AGENT",152406739,0.113,0.079,0.023,0.011
"Navi Finserv Limited_CUSTOMER",152915588,0.41,0.287,0.082,0.041
"NISSAN RENAULT_CUSTOMER",102373759,0.293,0.205,0.059,0.029
"NM FINANCE PVT LTD AGENT",77641407,0.293,0.205,0.059,0.029
"NOCPL_AGENT",141767441,0.113,0.079,0.023,0.011
"OROBORO LOANS (TRANSWARRANTY FINANCE) CUSTOMER",71444956,0.338,0.236,0.068,0.034
"PAAPOS_AGENT",110406841,0.315,0.221,0.063,0.032
"PERFECT CAPITAL SERVICES CUSTOMER",71842659,0.405,0.284,0.081,0.041
"POTAFO PRIVATE LIMITED_AGENT",116236539,0.248,0.173,0.05,0.025
"PRAMERICA_CUSTOMER",100788925,0.293,0.205,0.059,0.029
"QWY TECHNOLOGIES PVT LTD AGENT",118155826,0.27,0.189,0.054,0.027
"RBL FINSERVE_AGENT",139638574,0.081,0.057,0.016,0.008
"S M I L E MICROFINANCE LIMITED AGENT",80164505,0.225,0.158,0.045,0.023
"SAIJA_AGENT",92645715,0.203,0.142,0.041,0.02
"SATYA_AGENT",87435363,0.158,0.11,0.032,0.016
"SATYA_CUSTOMER",87435228,0.158,0.11,0.032,0.016
"Share India Fincap_AGENT",158057011,0.135,0.095,0.027,0.014
"SHIKSHA _AGENT",90690649,0.225,0.158,0.045,0.023
"SHIKSHA _CUSTOMER",90690615,0.225,0.158,0.045,0.023
"SHIVALIK SMALL FINANCE BANK LIMITED_AGENT",123136279,0.248,0.173,0.05,0.025
"SHIVALIK SMALL FINANCE BANK LIMITED_CUSTOMER",123136312,0.248,0.173,0.05,0.025
"SHOP KIRANA_AGENT",87068723,0.225,0.158,0.045,0.023
"SHRI RAM FINANCE CORPORATION PVT LTD AGENT",71572863,0.27,0.189,0.054,0.027
"SHRI RAM FINANCE CORPORATION PVT LTD CUSTOMER",75153655,0.27,0.189,0.054,0.027
"SHRIRAM FINANCE LIMITED AGENT",65965451,0.149,0.104,0.03,0.015
"SHRIRAM FINANCE LIMITED CHILD CUSTOMER",65982215,0.149,0.104,0.03,0.015
"SMHFCL_AGENT",99230123,0.27,0.189,0.054,0.027
"SMHFCL_CUSTOMER",99230163,0.27,0.189,0.054,0.027
"SONATA FINANCE PVT LTD_AGENT",131490347,0.158,0.11,0.032,0.016
"SURYODAY_AGENT",100522790,0.158,0.11,0.032,0.016
"SURYODAY_BRANCH_AGENT",118186975,0.158,0.11,0.032,0.016
"Svamaan Financial Services Pvt Ltd_AGENT",154391530,0.135,0.095,0.027,0.014
"Svamaan Financial Services Pvt Ltd_CUSTOMER",153662262,0.135,0.095,0.027,0.014
"SVATANTRA MICROFIN PRIVATE LIMITED _AGENT (GROUP)",96900670,0.158,0.11,0.032,0.016
"SVATANTRA MICROFIN PRIVATE LIMITED _AGENT(BULK)",96900729,0.158,0.11,0.032,0.016
"SWADESH MILK_AGENT",86813023,0.18,0.126,0.036,0.018
"TIKONA_AGENT",96013995,0.45,0.315,0.09,0.045
"TOPUP AGENT",76345050,0.135,0.095,0.027,0.014
"TP RENEWABLE MICROGRID LIMITED_BH_CUSTOMER",97167157,0.338,0.236,0.068,0.034
"TP RENEWABLE MICROGRID LIMITED_UP_CUSTOMER",97167199,0.338,0.236,0.068,0.034
"TRACTORS AND FARM EQUIPMENT LIMITED_AGENT",125768284,0.279,0.195,0.056,0.028
"TVS CREDIT SERVICE L AGENT",63135801,0.113,0.079,0.023,0.011
"TVS CREDIT SERVICE L CUSTOMER",59526355,0.113,0.079,0.023,0.011
"UJJIVAN SMALL FINANCE BANK LIMITED _AGENT",84307792,0.09,0.063,0.018,0.009
"UJJIVAN SMALL FINANCE BANK LIMITED _CUSTOMER",84320779,0.18,0.126,0.036,0.018
"UJJWAL_AGENT",96751558,0.225,0.158,0.045,0.023
"UJJWAL_CUSTOMER",96751606,0.225,0.158,0.045,0.023
"UP MONEY LTD AGENT",81685094,0.293,0.205,0.059,0.029
"VAYA FINSERV PRIVATE LIMITED_AGENT",107463818,0.158,0.11,0.032,0.016
"VEDIKA CREDIT AGENT",81697563,0.18,0.126,0.036,0.018
"VEDIKA CREDIT CUSTOMER",81697836,0.18,0.126,0.036,0.018
"VEDIKA FINCORP PRIVATE LIMITED AGENT",81911201,0.18,0.126,0.036,0.018
"VEDIKA FINCORP PRIVATE LIMITED CUSTOMER",81911245,0.18,0.126,0.036,0.018
"VEDIKA MANUFACTURING PVT LTD_CUSTOMER",116049608,0.338,0.236,0.068,0.034
"WOMEN EMPOWERMENT AGENT",70182845,0.9,0.63,0.18,0.09
"ZIP LOAN_AGENCY_AGENT",83830332,0.36,0.252,0.072,0.036
"ZIP LOAN_AGENT",83831634,0.36,0.252,0.072,0.036
"ZIP LOAN_CUSTOMER",83830291,0.36,0.252,0.072,0.036
"ZIPLOAN AGENCY-URGO_AGENT",100595762,0.36,0.252,0.072,0.036
"ZIPLOAN AGENT-URGO",100595723,0.36,0.252,0.072,0.036
"ZIPLOAN CUST-URGO_AGENT",100595675,0.36,0.252,0.072,0.036
"ZOMATO LIMITED CUSTOMER",72168441,0.135,0.095,0.027,0.014
